Dates,CPI
30/03/2021,0.0262
29/04/2021,0.0416
30/05/2021,0.0499
29/06/2021,0.0539
30/07/2021,0.0537
30/08/2021,0.0525
29/09/2021,0.0539
30/10/2021,0.0622
29/11/2021,0.0681
30/12/2021,0.0704
30/01/2022,0.0748
27/02/2022,0.0787
30/03/2022,0.0854
29/04/2022,0.0826
30/05/2022,0.0858
29/06/2022,0.0906
30/07/2022,0.0852
30/08/2022,0.0826
29/09/2022,0.082
30/10/2022,0.0775
29/11/2022,0.0711
30/12/2022,0.0645
30/01/2023,0.0641
27/02/2023,0.0604
30/03/2023,0.0498
29/04/2023,0.0493
30/05/2023,0.0405
29/06/2023,0.0297
30/07/2023,0.0318
30/08/2023,0.0367
29/09/2023,0.037
30/10/2023,0.0324
29/11/2023,0.0314
30/12/2023,0.0335
30/01/2024,0.0309
28/02/2024,0.0315
30/03/2024,0.0348
29/04/2024,0.0336
30/05/2024,0.0327
29/06/2024,0.0297
30/07/2024,0.0289
